angle_degrees,distance,strength,length_pixels
-50.50,0.00,89760.00,2359.88
-25.50,0.00,65535.00,2358.57
-39.50,132.21,56610.00,2359.88
83.00,665.77,43860.00,2360.63
-10.50,136.93,40800.00,2360.31
48.50,616.19,40800.00,2359.74
-30.00,321.08,39780.00,2359.66
32.50,483.98,39780.00,2359.95
0.00,269.14,37230.00,2359.00
-14.00,417.87,34680.00,2359.14
76.50,507.59,34680.00,2359.25
87.50,328.16,33915.00,2360.25
10.50,901.85,32130.00,2359.51
60.00,365.94,32130.00,2358.79
30.50,203.03,30855.00,2359.22
88.00,181.79,30855.00,2359.46
31.50,786.17,29325.00,2359.75
-33.00,384.82,24480.00,2359.59
89.50,59.02,24480.00,2360.08
27.00,1003.37,23460.00,2359.57
1.00,25.97,20400.00,2360.37
79.50,845.19,13515.00,2360.50
-90.00,365.94,0.00,2359.00
-90.00,483.98,0.00,2359.00
-90.00,602.02,0.00,2359.00
-90.00,720.07,0.00,2359.00
-90.00,838.11,0.00,2359.00
-90.00,956.15,0.00,2359.00
-90.00,1074.20,0.00,2359.00
-78.00,1178.08,0.00,2360.63
-68.00,776.73,0.00,2359.83
-68.00,894.77,0.00,2360.21
-68.00,1012.81,0.00,2359.83
-56.00,1116.69,0.00,2359.73
-46.00,951.43,0.00,2359.26
-34.50,1178.08,0.00,2360.21
-34.00,1055.31,0.00,2360.56
-12.50,1116.69,0.00,2359.99
63.50,1128.50,0.00,2360.39
79.50,963.24,0.00,2359.51
86.50,1076.56,0.00,2360.46
