angle_degrees,distance,strength,length_pixels
-52.50,0.00,307275.00,2360.74
-26.50,0.00,221850.00,2359.05
-45.00,144.01,139740.00,2360.32
0.00,269.14,128010.00,2359.00
87.50,649.24,125205.00,2360.25
45.00,594.94,121635.00,2358.91
-16.00,285.67,110670.00,2359.31
89.50,224.28,109905.00,2359.09
0.00,476.90,106335.00,2359.00
28.50,443.84,104550.00,2359.47
89.50,526.47,103530.00,2360.09
89.50,356.49,92820.00,2360.09
-23.00,557.17,91800.00,2359.59
-8.50,776.73,84405.00,2359.95
89.50,96.80,77010.00,2360.09
9.00,155.82,73185.00,2360.03
62.50,845.19,72930.00,2359.82
11.00,904.21,71910.00,2359.50
34.00,975.04,62985.00,2359.73
5.00,28.33,32385.00,2358.92
62.50,963.24,31875.00,2359.82
-90.00,365.94,0.00,2359.00
-90.00,483.98,0.00,2359.00
-90.00,602.02,0.00,2359.00
-90.00,720.07,0.00,2359.00
-90.00,838.11,0.00,2359.00
-90.00,956.15,0.00,2359.00
-90.00,1074.20,0.00,2359.00
-78.00,1178.08,0.00,2360.63
-68.00,779.09,0.00,2360.21
-68.00,897.13,0.00,2359.83
-68.00,1015.17,0.00,2359.83
-56.00,1119.05,0.00,2359.73
-46.00,956.15,0.00,2359.26
-34.00,1060.03,0.00,2359.73
-34.00,1178.08,0.00,2359.73
-12.00,1116.69,0.00,2359.65
56.50,1152.11,0.00,2359.43
74.50,1067.11,0.00,2359.92
83.50,1178.08,0.00,2359.16
84.50,901.85,0.00,2359.85
87.50,776.73,0.00,2359.25
